Description|Acceptance Criteria
"As a developer, I want to implement bucketing in Hive tables to optimize query performance and reduce shuffle operations."|"Scenario: Optimize Hive queries by implementing bucketing \n Given: The Hive table schema is defined, and bucket keys are identified \n When: We create a table with bucketing and load data accordingly \n Then: Query performance should improve by reducing shuffle operations"
"As a data engineer, I need to enable dynamic partitioning in Hive so that new partitions are created automatically when new data arrives."|"Scenario: Enable dynamic partitioning to handle incremental data \n Given: The Hive table supports partitioning, and incoming data contains partition keys \n When: We configure hive.exec.dynamic.partition and hive.exec.dynamic.partition.mode to allow dynamic partitions \n Then: The system should create partitions dynamically as new data arrives"
"As a data engineer, I want to create an external Hive table to read data stored in S3 without moving it."|"Scenario: Set up an external Hive table linked to S3 \n Given: The S3 bucket and data files are accessible \n When: We create an external Hive table with the correct schema \n Then: The table should query data directly from S3 without moving it into HDFS"
"As a developer, I need to enable ACID transactions in Hive to support row-level updates and deletes."|"Scenario: Enable ACID transactions for a managed Hive table \n Given: The Hive table is a managed table stored in ORC format \n When: We configure hive.txn.manager and enable hive.compactor.initiator.on \n Then: The table should support row-level updates, inserts, and deletes"
"As a developer, I need to create a partitioned table to match the user schema and load data daily, scheduling the job in Autosys."|"Scenario: Create the partitioned table to load the source data daily and schedule the job in Autosys \n Given: Source data schema is available, and the table DDL is attached in Jira \n When: We create the table and load script and schedule it in Autosys on a daily basis \n Then: The job should fetch the data and load it on a daily basis"
"As a developer, I want to implement bucketing in Hive tables to optimize query performance and reduce shuffle operations."|"Scenario: Optimize Hive queries by implementing bucketing \n Given: The Hive table schema is defined, and bucket keys are identified \n When: We create a table with bucketing and load data accordingly \n Then: Query performance should improve by reducing shuffle operations"
"As a data engineer, I need to enable dynamic partitioning in Hive so that new partitions are created automatically when new data arrives."|"Scenario: Enable dynamic partitioning to handle incremental data \n Given: The Hive table supports partitioning, and incoming data contains partition keys \n When: We configure hive.exec.dynamic.partition and hive.exec.dynamic.partition.mode to allow dynamic partitions \n Then: The system should create partitions dynamically as new data arrives"
"As a data engineer, I want to create an external Hive table to read data stored in S3 without moving it."|"Scenario: Set up an external Hive table linked to S3 \n Given: The S3 bucket and data files are accessible \n When: We create an external Hive table with the correct schema \n Then: The table should query data directly from S3 without moving it into HDFS"
"As a developer, I need to enable ACID transactions in Hive to support row-level updates and deletes."|"Scenario: Enable ACID transactions for a managed Hive table \n Given: The Hive table is a managed table stored in ORC format \n When: We configure hive.txn.manager and enable hive.compactor.initiator.on \n Then: The table should support row-level updates, inserts, and deletes"
"As a developer, I need to create a partitioned table to match the user schema and load data daily, scheduling the job in Autosys."|"Scenario: Create the partitioned table to load the source data daily and schedule the job in Autosys \n Given: Source data schema is available, and the table DDL is attached in Jira \n When: We create the table and load script and schedule it in Autosys on a daily basis \n Then: The job should fetch the data and load it on a daily basis"
"As a developer, I want to implement bucketing in Hive tables to optimize query performance and reduce shuffle operations."|"Scenario: Optimize Hive queries by implementing bucketing \n Given: The Hive table schema is defined, and bucket keys are identified \n When: We create a table with bucketing and load data accordingly \n Then: Query performance should improve by reducing shuffle operations"
"As a data engineer, I need to enable dynamic partitioning in Hive so that new partitions are created automatically when new data arrives."|"Scenario: Enable dynamic partitioning to handle incremental data \n Given: The Hive table supports partitioning, and incoming data contains partition keys \n When: We configure hive.exec.dynamic.partition and hive.exec.dynamic.partition.mode to allow dynamic partitions \n Then: The system should create partitions dynamically as new data arrives"
"As a data engineer, I want to create an external Hive table to read data stored in S3 without moving it."|"Scenario: Set up an external Hive table linked to S3 \n Given: The S3 bucket and data files are accessible \n When: We create an external Hive table with the correct schema \n Then: The table should query data directly from S3 without moving it into HDFS"
"As a developer, I need to enable ACID transactions in Hive to support row-level updates and deletes."|"Scenario: Enable ACID transactions for a managed Hive table \n Given: The Hive table is a managed table stored in ORC format \n When: We configure hive.txn.manager and enable hive.compactor.initiator.on \n Then: The table should support row-level updates, inserts, and deletes"
"As a developer, I need to create a partitioned table to match the user schema and load data daily, scheduling the job in Autosys."|"Scenario: Create the partitioned table to load the source data daily and schedule the job in Autosys \n Given: Source data schema is available, and the table DDL is attached in Jira \n When: We create the table and load script and schedule it in Autosys on a daily basis \n Then: The job should fetch the data and load it on a daily basis"
"As a developer, I want to implement bucketing in Hive tables to optimize query performance and reduce shuffle operations."|"Scenario: Optimize Hive queries by implementing bucketing \n Given: The Hive table schema is defined, and bucket keys are identified \n When: We create a table with bucketing and load data accordingly \n Then: Query performance should improve by reducing shuffle operations"
"As a data engineer, I need to enable dynamic partitioning in Hive so that new partitions are created automatically when new data arrives."|"Scenario: Enable dynamic partitioning to handle incremental data \n Given: The Hive table supports partitioning, and incoming data contains partition keys \n When: We configure hive.exec.dynamic.partition and hive.exec.dynamic.partition.mode to allow dynamic partitions \n Then: The system should create partitions dynamically as new data arrives"
"As a data engineer, I want to create an external Hive table to read data stored in S3 without moving it."|"Scenario: Set up an external Hive table linked to S3 \n Given: The S3 bucket and data files are accessible \n When: We create an external Hive table with the correct schema \n Then: The table should query data directly from S3 without moving it into HDFS"
"As a developer, I need to enable ACID transactions in Hive to support row-level updates and deletes."|"Scenario: Enable ACID transactions for a managed Hive table \n Given: The Hive table is a managed table stored in ORC format \n When: We configure hive.txn.manager and enable hive.compactor.initiator.on \n Then: The table should support row-level updates, inserts, and deletes"
"As a developer, I need to create a partitioned table to match the user schema and load data daily, scheduling the job in Autosys."|"Scenario: Create the partitioned table to load the source data daily and schedule the job in Autosys \n Given: Source data schema is available, and the table DDL is attached in Jira \n When: We create the table and load script and schedule it in Autosys on a daily basis \n Then: The job should fetch the data and load it on a daily basis"
"As a developer, I want to implement bucketing in Hive tables to optimize query performance and reduce shuffle operations."|"Scenario: Optimize Hive queries by implementing bucketing \n Given: The Hive table schema is defined, and bucket keys are identified \n When: We create a table with bucketing and load data accordingly \n Then: Query performance should improve by reducing shuffle operations"
"As a data engineer, I need to enable dynamic partitioning in Hive so that new partitions are created automatically when new data arrives."|"Scenario: Enable dynamic partitioning to handle incremental data \n Given: The Hive table supports partitioning, and incoming data contains partition keys \n When: We configure hive.exec.dynamic.partition and hive.exec.dynamic.partition.mode to allow dynamic partitions \n Then: The system should create partitions dynamically as new data arrives"
"As a data engineer, I want to create an external Hive table to read data stored in S3 without moving it."|"Scenario: Set up an external Hive table linked to S3 \n Given: The S3 bucket and data files are accessible \n When: We create an external Hive table with the correct schema \n Then: The table should query data directly from S3 without moving it into HDFS"
"As a developer, I need to enable ACID transactions in Hive to support row-level updates and deletes."|"Scenario: Enable ACID transactions for a managed Hive table \n Given: The Hive table is a managed table stored in ORC format \n When: We configure hive.txn.manager and enable hive.compactor.initiator.on \n Then: The table should support row-level updates, inserts, and deletes"
"As a developer, I need to create a partitioned table to match the user schema and load data daily, scheduling the job in Autosys."|"Scenario: Create the partitioned table to load the source data daily and schedule the job in Autosys \n Given: Source data schema is available, and the table DDL is attached in Jira \n When: We create the table and load script and schedule it in Autosys on a daily basis \n Then: The job should fetch the data and load it on a daily basis"
"As a developer, I want to implement bucketing in Hive tables to optimize query performance and reduce shuffle operations."|"Scenario: Optimize Hive queries by implementing bucketing \n Given: The Hive table schema is defined, and bucket keys are identified \n When: We create a table with bucketing and load data accordingly \n Then: Query performance should improve by reducing shuffle operations"
"As a data engineer, I need to enable dynamic partitioning in Hive so that new partitions are created automatically when new data arrives."|"Scenario: Enable dynamic partitioning to handle incremental data \n Given: The Hive table supports partitioning, and incoming data contains partition keys \n When: We configure hive.exec.dynamic.partition and hive.exec.dynamic.partition.mode to allow dynamic partitions \n Then: The system should create partitions dynamically as new data arrives"
"As a data engineer, I want to create an external Hive table to read data stored in S3 without moving it."|"Scenario: Set up an external Hive table linked to S3 \n Given: The S3 bucket and data files are accessible \n When: We create an external Hive table with the correct schema \n Then: The table should query data directly from S3 without moving it into HDFS"
"As a developer, I need to enable ACID transactions in Hive to support row-level updates and deletes."|"Scenario: Enable ACID transactions for a managed Hive table \n Given: The Hive table is a managed table stored in ORC format \n When: We configure hive.txn.manager and enable hive.compactor.initiator.on \n Then: The table should support row-level updates, inserts, and deletes"
"As a developer, I need to create a partitioned table to match the user schema and load data daily, scheduling the job in Autosys."|"Scenario: Create the partitioned table to load the source data daily and schedule the job in Autosys \n Given: Source data schema is available, and the table DDL is attached in Jira \n When: We create the table and load script and schedule it in Autosys on a daily basis \n Then: The job should fetch the data and load it on a daily basis"
"As a developer, I want to implement bucketing in Hive tables to optimize query performance and reduce shuffle operations."|"Scenario: Optimize Hive queries by implementing bucketing \n Given: The Hive table schema is defined, and bucket keys are identified \n When: We create a table with bucketing and load data accordingly \n Then: Query performance should improve by reducing shuffle operations"
"As a data engineer, I need to enable dynamic partitioning in Hive so that new partitions are created automatically when new data arrives."|"Scenario: Enable dynamic partitioning to handle incremental data \n Given: The Hive table supports partitioning, and incoming data contains partition keys \n When: We configure hive.exec.dynamic.partition and hive.exec.dynamic.partition.mode to allow dynamic partitions \n Then: The system should create partitions dynamically as new data arrives"
"As a data engineer, I want to create an external Hive table to read data stored in S3 without moving it."|"Scenario: Set up an external Hive table linked to S3 \n Given: The S3 bucket and data files are accessible \n When: We create an external Hive table with the correct schema \n Then: The table should query data directly from S3 without moving it into HDFS"
"As a developer, I need to enable ACID transactions in Hive to support row-level updates and deletes."|"Scenario: Enable ACID transactions for a managed Hive table \n Given: The Hive table is a managed table stored in ORC format \n When: We configure hive.txn.manager and enable hive.compactor.initiator.on \n Then: The table should support row-level updates, inserts, and deletes"
"As a developer, I need to create a partitioned table to match the user schema and load data daily, scheduling the job in Autosys."|"Scenario: Create the partitioned table to load the source data daily and schedule the job in Autosys \n Given: Source data schema is available, and the table DDL is attached in Jira \n When: We create the table and load script and schedule it in Autosys on a daily basis \n Then: The job should fetch the data and load it on a daily basis"
"As a developer, I want to implement bucketing in Hive tables to optimize query performance and reduce shuffle operations."|"Scenario: Optimize Hive queries by implementing bucketing \n Given: The Hive table schema is defined, and bucket keys are identified \n When: We create a table with bucketing and load data accordingly \n Then: Query performance should improve by reducing shuffle operations"
"As a data engineer, I need to enable dynamic partitioning in Hive so that new partitions are created automatically when new data arrives."|"Scenario: Enable dynamic partitioning to handle incremental data \n Given: The Hive table supports partitioning, and incoming data contains partition keys \n When: We configure hive.exec.dynamic.partition and hive.exec.dynamic.partition.mode to allow dynamic partitions \n Then: The system should create partitions dynamically as new data arrives"
"As a data engineer, I want to create an external Hive table to read data stored in S3 without moving it."|"Scenario: Set up an external Hive table linked to S3 \n Given: The S3 bucket and data files are accessible \n When: We create an external Hive table with the correct schema \n Then: The table should query data directly from S3 without moving it into HDFS"
"As a developer, I need to enable ACID transactions in Hive to support row-level updates and deletes."|"Scenario: Enable ACID transactions for a managed Hive table \n Given: The Hive table is a managed table stored in ORC format \n When: We configure hive.txn.manager and enable hive.compactor.initiator.on \n Then: The table should support row-level updates, inserts, and deletes"
"As a developer, I need to create a partitioned table to match the user schema and load data daily, scheduling the job in Autosys."|"Scenario: Create the partitioned table to load the source data daily and schedule the job in Autosys \n Given: Source data schema is available, and the table DDL is attached in Jira \n When: We create the table and load script and schedule it in Autosys on a daily basis \n Then: The job should fetch the data and load it on a daily basis"
"As a developer, I want to implement bucketing in Hive tables to optimize query performance and reduce shuffle operations."|"Scenario: Optimize Hive queries by implementing bucketing \n Given: The Hive table schema is defined, and bucket keys are identified \n When: We create a table with bucketing and load data accordingly \n Then: Query performance should improve by reducing shuffle operations"
"As a data engineer, I need to enable dynamic partitioning in Hive so that new partitions are created automatically when new data arrives."|"Scenario: Enable dynamic partitioning to handle incremental data \n Given: The Hive table supports partitioning, and incoming data contains partition keys \n When: We configure hive.exec.dynamic.partition and hive.exec.dynamic.partition.mode to allow dynamic partitions \n Then: The system should create partitions dynamically as new data arrives"
"As a data engineer, I want to create an external Hive table to read data stored in S3 without moving it."|"Scenario: Set up an external Hive table linked to S3 \n Given: The S3 bucket and data files are accessible \n When: We create an external Hive table with the correct schema \n Then: The table should query data directly from S3 without moving it into HDFS"
"As a developer, I need to enable ACID transactions in Hive to support row-level updates and deletes."|"Scenario: Enable ACID transactions for a managed Hive table \n Given: The Hive table is a managed table stored in ORC format \n When: We configure hive.txn.manager and enable hive.compactor.initiator.on \n Then: The table should support row-level updates, inserts, and deletes"
"As a developer, I need to create a partitioned table to match the user schema and load data daily, scheduling the job in Autosys."|"Scenario: Create the partitioned table to load the source data daily and schedule the job in Autosys \n Given: Source data schema is available, and the table DDL is attached in Jira \n When: We create the table and load script and schedule it in Autosys on a daily basis \n Then: The job should fetch the data and load it on a daily basis"
"As a developer, I want to implement bucketing in Hive tables to optimize query performance and reduce shuffle operations."|"Scenario: Optimize Hive queries by implementing bucketing \n Given: The Hive table schema is defined, and bucket keys are identified \n When: We create a table with bucketing and load data accordingly \n Then: Query performance should improve by reducing shuffle operations"
"As a data engineer, I need to enable dynamic partitioning in Hive so that new partitions are created automatically when new data arrives."|"Scenario: Enable dynamic partitioning to handle incremental data \n Given: The Hive table supports partitioning, and incoming data contains partition keys \n When: We configure hive.exec.dynamic.partition and hive.exec.dynamic.partition.mode to allow dynamic partitions \n Then: The system should create partitions dynamically as new data arrives"
"As a data engineer, I want to create an external Hive table to read data stored in S3 without moving it."|"Scenario: Set up an external Hive table linked to S3 \n Given: The S3 bucket and data files are accessible \n When: We create an external Hive table with the correct schema \n Then: The table should query data directly from S3 without moving it into HDFS"
"As a developer, I need to enable ACID transactions in Hive to support row-level updates and deletes."|"Scenario: Enable ACID transactions for a managed Hive table \n Given: The Hive table is a managed table stored in ORC format \n When: We configure hive.txn.manager and enable hive.compactor.initiator.on \n Then: The table should support row-level updates, inserts, and deletes"
"As a developer, I need to create a partitioned table to match the user schema and load data daily, scheduling the job in Autosys."|"Scenario: Create the partitioned table to load the source data daily and schedule the job in Autosys \n Given: Source data schema is available, and the table DDL is attached in Jira \n When: We create the table and load script and schedule it in Autosys on a daily basis \n Then: The job should fetch the data and load it on a daily basis"
"As a developer, I want to implement bucketing in Hive tables to optimize query performance and reduce shuffle operations."|"Scenario: Optimize Hive queries by implementing bucketing \n Given: The Hive table schema is defined, and bucket keys are identified \n When: We create a table with bucketing and load data accordingly \n Then: Query performance should improve by reducing shuffle operations"
"As a data engineer, I need to enable dynamic partitioning in Hive so that new partitions are created automatically when new data arrives."|"Scenario: Enable dynamic partitioning to handle incremental data \n Given: The Hive table supports partitioning, and incoming data contains partition keys \n When: We configure hive.exec.dynamic.partition and hive.exec.dynamic.partition.mode to allow dynamic partitions \n Then: The system should create partitions dynamically as new data arrives"
"As a data engineer, I want to create an external Hive table to read data stored in S3 without moving it."|"Scenario: Set up an external Hive table linked to S3 \n Given: The S3 bucket and data files are accessible \n When: We create an external Hive table with the correct schema \n Then: The table should query data directly from S3 without moving it into HDFS"
"As a developer, I need to enable ACID transactions in Hive to support row-level updates and deletes."|"Scenario: Enable ACID transactions for a managed Hive table \n Given: The Hive table is a managed table stored in ORC format \n When: We configure hive.txn.manager and enable hive.compactor.initiator.on \n Then: The table should support row-level updates, inserts, and deletes"
"As a developer, I need to create a partitioned table to match the user schema and load data daily, scheduling the job in Autosys."|"Scenario: Create the partitioned table to load the source data daily and schedule the job in Autosys \n Given: Source data schema is available, and the table DDL is attached in Jira \n When: We create the table and load script and schedule it in Autosys on a daily basis \n Then: The job should fetch the data and load it on a daily basis"
"As a developer, I want to implement bucketing in Hive tables to optimize query performance and reduce shuffle operations."|"Scenario: Optimize Hive queries by implementing bucketing \n Given: The Hive table schema is defined, and bucket keys are identified \n When: We create a table with bucketing and load data accordingly \n Then: Query performance should improve by reducing shuffle operations"
"As a data engineer, I need to enable dynamic partitioning in Hive so that new partitions are created automatically when new data arrives."|"Scenario: Enable dynamic partitioning to handle incremental data \n Given: The Hive table supports partitioning, and incoming data contains partition keys \n When: We configure hive.exec.dynamic.partition and hive.exec.dynamic.partition.mode to allow dynamic partitions \n Then: The system should create partitions dynamically as new data arrives"
"As a data engineer, I want to create an external Hive table to read data stored in S3 without moving it."|"Scenario: Set up an external Hive table linked to S3 \n Given: The S3 bucket and data files are accessible \n When: We create an external Hive table with the correct schema \n Then: The table should query data directly from S3 without moving it into HDFS"
"As a developer, I need to enable ACID transactions in Hive to support row-level updates and deletes."|"Scenario: Enable ACID transactions for a managed Hive table \n Given: The Hive table is a managed table stored in ORC format \n When: We configure hive.txn.manager and enable hive.compactor.initiator.on \n Then: The table should support row-level updates, inserts, and deletes"
"As a developer, I need to create a partitioned table to match the user schema and load data daily, scheduling the job in Autosys."|"Scenario: Create the partitioned table to load the source data daily and schedule the job in Autosys \n Given: Source data schema is available, and the table DDL is attached in Jira \n When: We create the table and load script and schedule it in Autosys on a daily basis \n Then: The job should fetch the data and load it on a daily basis"
"As a developer, I want to implement bucketing in Hive tables to optimize query performance and reduce shuffle operations."|"Scenario: Optimize Hive queries by implementing bucketing \n Given: The Hive table schema is defined, and bucket keys are identified \n When: We create a table with bucketing and load data accordingly \n Then: Query performance should improve by reducing shuffle operations"
"As a data engineer, I need to enable dynamic partitioning in Hive so that new partitions are created automatically when new data arrives."|"Scenario: Enable dynamic partitioning to handle incremental data \n Given: The Hive table supports partitioning, and incoming data contains partition keys \n When: We configure hive.exec.dynamic.partition and hive.exec.dynamic.partition.mode to allow dynamic partitions \n Then: The system should create partitions dynamically as new data arrives"
"As a data engineer, I want to create an external Hive table to read data stored in S3 without moving it."|"Scenario: Set up an external Hive table linked to S3 \n Given: The S3 bucket and data files are accessible \n When: We create an external Hive table with the correct schema \n Then: The table should query data directly from S3 without moving it into HDFS"
"As a developer, I need to enable ACID transactions in Hive to support row-level updates and deletes."|"Scenario: Enable ACID transactions for a managed Hive table \n Given: The Hive table is a managed table stored in ORC format \n When: We configure hive.txn.manager and enable hive.compactor.initiator.on \n Then: The table should support row-level updates, inserts, and deletes"
"As a developer, I need to create a partitioned table to match the user schema and load data daily, scheduling the job in Autosys."|"Scenario: Create the partitioned table to load the source data daily and schedule the job in Autosys \n Given: Source data schema is available, and the table DDL is attached in Jira \n When: We create the table and load script and schedule it in Autosys on a daily basis \n Then: The job should fetch the data and load it on a daily basis"
"As a developer, I want to implement bucketing in Hive tables to optimize query performance and reduce shuffle operations."|"Scenario: Optimize Hive queries by implementing bucketing \n Given: The Hive table schema is defined, and bucket keys are identified \n When: We create a table with bucketing and load data accordingly \n Then: Query performance should improve by reducing shuffle operations"
"As a data engineer, I need to enable dynamic partitioning in Hive so that new partitions are created automatically when new data arrives."|"Scenario: Enable dynamic partitioning to handle incremental data \n Given: The Hive table supports partitioning, and incoming data contains partition keys \n When: We configure hive.exec.dynamic.partition and hive.exec.dynamic.partition.mode to allow dynamic partitions \n Then: The system should create partitions dynamically as new data arrives"
"As a data engineer, I want to create an external Hive table to read data stored in S3 without moving it."|"Scenario: Set up an external Hive table linked to S3 \n Given: The S3 bucket and data files are accessible \n When: We create an external Hive table with the correct schema \n Then: The table should query data directly from S3 without moving it into HDFS"
"As a developer, I need to enable ACID transactions in Hive to support row-level updates and deletes."|"Scenario: Enable ACID transactions for a managed Hive table \n Given: The Hive table is a managed table stored in ORC format \n When: We configure hive.txn.manager and enable hive.compactor.initiator.on \n Then: The table should support row-level updates, inserts, and deletes"
"As a developer, I need to create a partitioned table to match the user schema and load data daily, scheduling the job in Autosys."|"Scenario: Create the partitioned table to load the source data daily and schedule the job in Autosys \n Given: Source data schema is available, and the table DDL is attached in Jira \n When: We create the table and load script and schedule it in Autosys on a daily basis \n Then: The job should fetch the data and load it on a daily basis"
"As a developer, I want to implement bucketing in Hive tables to optimize query performance and reduce shuffle operations."|"Scenario: Optimize Hive queries by implementing bucketing \n Given: The Hive table schema is defined, and bucket keys are identified \n When: We create a table with bucketing and load data accordingly \n Then: Query performance should improve by reducing shuffle operations"
"As a data engineer, I need to enable dynamic partitioning in Hive so that new partitions are created automatically when new data arrives."|"Scenario: Enable dynamic partitioning to handle incremental data \n Given: The Hive table supports partitioning, and incoming data contains partition keys \n When: We configure hive.exec.dynamic.partition and hive.exec.dynamic.partition.mode to allow dynamic partitions \n Then: The system should create partitions dynamically as new data arrives"
"As a data engineer, I want to create an external Hive table to read data stored in S3 without moving it."|"Scenario: Set up an external Hive table linked to S3 \n Given: The S3 bucket and data files are accessible \n When: We create an external Hive table with the correct schema \n Then: The table should query data directly from S3 without moving it into HDFS"
"As a developer, I need to enable ACID transactions in Hive to support row-level updates and deletes."|"Scenario: Enable ACID transactions for a managed Hive table \n Given: The Hive table is a managed table stored in ORC format \n When: We configure hive.txn.manager and enable hive.compactor.initiator.on \n Then: The table should support row-level updates, inserts, and deletes"
"As a developer, I need to create a partitioned table to match the user schema and load data daily, scheduling the job in Autosys."|"Scenario: Create the partitioned table to load the source data daily and schedule the job in Autosys \n Given: Source data schema is available, and the table DDL is attached in Jira \n When: We create the table and load script and schedule it in Autosys on a daily basis \n Then: The job should fetch the data and load it on a daily basis"
"As a developer, I want to implement bucketing in Hive tables to optimize query performance and reduce shuffle operations."|"Scenario: Optimize Hive queries by implementing bucketing \n Given: The Hive table schema is defined, and bucket keys are identified \n When: We create a table with bucketing and load data accordingly \n Then: Query performance should improve by reducing shuffle operations"
"As a data engineer, I need to enable dynamic partitioning in Hive so that new partitions are created automatically when new data arrives."|"Scenario: Enable dynamic partitioning to handle incremental data \n Given: The Hive table supports partitioning, and incoming data contains partition keys \n When: We configure hive.exec.dynamic.partition and hive.exec.dynamic.partition.mode to allow dynamic partitions \n Then: The system should create partitions dynamically as new data arrives"
"As a data engineer, I want to create an external Hive table to read data stored in S3 without moving it."|"Scenario: Set up an external Hive table linked to S3 \n Given: The S3 bucket and data files are accessible \n When: We create an external Hive table with the correct schema \n Then: The table should query data directly from S3 without moving it into HDFS"
"As a developer, I need to enable ACID transactions in Hive to support row-level updates and deletes."|"Scenario: Enable ACID transactions for a managed Hive table \n Given: The Hive table is a managed table stored in ORC format \n When: We configure hive.txn.manager and enable hive.compactor.initiator.on \n Then: The table should support row-level updates, inserts, and deletes"
"As a developer, I need to create a partitioned table to match the user schema and load data daily, scheduling the job in Autosys."|"Scenario: Create the partitioned table to load the source data daily and schedule the job in Autosys \n Given: Source data schema is available, and the table DDL is attached in Jira \n When: We create the table and load script and schedule it in Autosys on a daily basis \n Then: The job should fetch the data and load it on a daily basis"
"As a developer, I want to implement bucketing in Hive tables to optimize query performance and reduce shuffle operations."|"Scenario: Optimize Hive queries by implementing bucketing \n Given: The Hive table schema is defined, and bucket keys are identified \n When: We create a table with bucketing and load data accordingly \n Then: Query performance should improve by reducing shuffle operations"
"As a data engineer, I need to enable dynamic partitioning in Hive so that new partitions are created automatically when new data arrives."|"Scenario: Enable dynamic partitioning to handle incremental data \n Given: The Hive table supports partitioning, and incoming data contains partition keys \n When: We configure hive.exec.dynamic.partition and hive.exec.dynamic.partition.mode to allow dynamic partitions \n Then: The system should create partitions dynamically as new data arrives"
"As a data engineer, I want to create an external Hive table to read data stored in S3 without moving it."|"Scenario: Set up an external Hive table linked to S3 \n Given: The S3 bucket and data files are accessible \n When: We create an external Hive table with the correct schema \n Then: The table should query data directly from S3 without moving it into HDFS"
"As a developer, I need to enable ACID transactions in Hive to support row-level updates and deletes."|"Scenario: Enable ACID transactions for a managed Hive table \n Given: The Hive table is a managed table stored in ORC format \n When: We configure hive.txn.manager and enable hive.compactor.initiator.on \n Then: The table should support row-level updates, inserts, and deletes"
"As a developer, I need to create a partitioned table to match the user schema and load data daily, scheduling the job in Autosys."|"Scenario: Create the partitioned table to load the source data daily and schedule the job in Autosys \n Given: Source data schema is available, and the table DDL is attached in Jira \n When: We create the table and load script and schedule it in Autosys on a daily basis \n Then: The job should fetch the data and load it on a daily basis"
"As a developer, I want to implement bucketing in Hive tables to optimize query performance and reduce shuffle operations."|"Scenario: Optimize Hive queries by implementing bucketing \n Given: The Hive table schema is defined, and bucket keys are identified \n When: We create a table with bucketing and load data accordingly \n Then: Query performance should improve by reducing shuffle operations"
"As a data engineer, I need to enable dynamic partitioning in Hive so that new partitions are created automatically when new data arrives."|"Scenario: Enable dynamic partitioning to handle incremental data \n Given: The Hive table supports partitioning, and incoming data contains partition keys \n When: We configure hive.exec.dynamic.partition and hive.exec.dynamic.partition.mode to allow dynamic partitions \n Then: The system should create partitions dynamically as new data arrives"
"As a data engineer, I want to create an external Hive table to read data stored in S3 without moving it."|"Scenario: Set up an external Hive table linked to S3 \n Given: The S3 bucket and data files are accessible \n When: We create an external Hive table with the correct schema \n Then: The table should query data directly from S3 without moving it into HDFS"
"As a developer, I need to enable ACID transactions in Hive to support row-level updates and deletes."|"Scenario: Enable ACID transactions for a managed Hive table \n Given: The Hive table is a managed table stored in ORC format \n When: We configure hive.txn.manager and enable hive.compactor.initiator.on \n Then: The table should support row-level updates, inserts, and deletes"
"As a developer, I need to create a partitioned table to match the user schema and load data daily, scheduling the job in Autosys."|"Scenario: Create the partitioned table to load the source data daily and schedule the job in Autosys \n Given: Source data schema is available, and the table DDL is attached in Jira \n When: We create the table and load script and schedule it in Autosys on a daily basis \n Then: The job should fetch the data and load it on a daily basis"
"As a developer, I want to implement bucketing in Hive tables to optimize query performance and reduce shuffle operations."|"Scenario: Optimize Hive queries by implementing bucketing \n Given: The Hive table schema is defined, and bucket keys are identified \n When: We create a table with bucketing and load data accordingly \n Then: Query performance should improve by reducing shuffle operations"
"As a data engineer, I need to enable dynamic partitioning in Hive so that new partitions are created automatically when new data arrives."|"Scenario: Enable dynamic partitioning to handle incremental data \n Given: The Hive table supports partitioning, and incoming data contains partition keys \n When: We configure hive.exec.dynamic.partition and hive.exec.dynamic.partition.mode to allow dynamic partitions \n Then: The system should create partitions dynamically as new data arrives"
"As a data engineer, I want to create an external Hive table to read data stored in S3 without moving it."|"Scenario: Set up an external Hive table linked to S3 \n Given: The S3 bucket and data files are accessible \n When: We create an external Hive table with the correct schema \n Then: The table should query data directly from S3 without moving it into HDFS"
"As a developer, I need to enable ACID transactions in Hive to support row-level updates and deletes."|"Scenario: Enable ACID transactions for a managed Hive table \n Given: The Hive table is a managed table stored in ORC format \n When: We configure hive.txn.manager and enable hive.compactor.initiator.on \n Then: The table should support row-level updates, inserts, and deletes"
"As a developer, I need to create a partitioned table to match the user schema and load data daily, scheduling the job in Autosys."|"Scenario: Create the partitioned table to load the source data daily and schedule the job in Autosys \n Given: Source data schema is available, and the table DDL is attached in Jira \n When: We create the table and load script and schedule it in Autosys on a daily basis \n Then: The job should fetch the data and load it on a daily basis"
"As a developer, I want to implement bucketing in Hive tables to optimize query performance and reduce shuffle operations."|"Scenario: Optimize Hive queries by implementing bucketing \n Given: The Hive table schema is defined, and bucket keys are identified \n When: We create a table with bucketing and load data accordingly \n Then: Query performance should improve by reducing shuffle operations"
"As a data engineer, I need to enable dynamic partitioning in Hive so that new partitions are created automatically when new data arrives."|"Scenario: Enable dynamic partitioning to handle incremental data \n Given: The Hive table supports partitioning, and incoming data contains partition keys \n When: We configure hive.exec.dynamic.partition and hive.exec.dynamic.partition.mode to allow dynamic partitions \n Then: The system should create partitions dynamically as new data arrives"
"As a data engineer, I want to create an external Hive table to read data stored in S3 without moving it."|"Scenario: Set up an external Hive table linked to S3 \n Given: The S3 bucket and data files are accessible \n When: We create an external Hive table with the correct schema \n Then: The table should query data directly from S3 without moving it into HDFS"
"As a developer, I need to enable ACID transactions in Hive to support row-level updates and deletes."|"Scenario: Enable ACID transactions for a managed Hive table \n Given: The Hive table is a managed table stored in ORC format \n When: We configure hive.txn.manager and enable hive.compactor.initiator.on \n Then: The table should support row-level updates, inserts, and deletes"
